Geneid	lib1	lib2	lib3	lib4	lib5	lib6	lib7	lib8	lib9	lib10	lib11	lib12
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186827	240	126	595	180	332	186	521	202	294	170	362	126
ENSG00000186891	185	50	255	37	99	50	329	64	392	74	395	58
ENSG00000160072	62	52	101	81	138	113	166	94	80	132	185	43
ENSG00000041988	17	56	45	106	46	85	92	132	104	76	43	71
ENSG00000142611	0	0	0	0	3	0	2	4	0	0	0	0
ENSG00000067606	0	8	8	0	34	8	26	0	23	21	31	20
ENSG00000131584	43	9	74	22	35	14	83	37	96	50	85	61
ENSG00000169972	15	6	83	29	49	22	64	25	41	30	51	27
ENSG00000157911	6	15	34	15	40	25	77	36	60	50	50	62
ENSG00000224051	30	7	70	44	40	42	66	38	48	78	68	39
ENSG00000157933	25	3	22	26	4	4	9	4	17	5	27	0
ENSG00000162591	0	1	0	0	0	0	0	0	0	4	0	0
ENSG00000169962	0	4	0	0	0	0	0	0	0	0	11	0
ENSG00000116285	0	0	0	1	4	0	0	0	0	0	6	0
ENSG00000142655	4	17	12	25	16	30	28	27	9	25	18	29
ENSG00000149527	3	0	0	1	3	0	0	0	0	21	0	0
ENSG00000007923	47	30	74	45	227	163	231	104	143	180	113	75
ENSG00000171621	5	16	1	19	30	66	34	27	33	48	38	39
ENSG00000162441	67	67	160	148	183	118	112	92	119	139	148	68
ENSG00000187017	0	0	0	0	0	0	5	0	0	1	0	0
ENSG00000173673	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142583	2	1	1	5	4	14	0	0	20	26	0	0
ENSG00000107404	9	6	32	12	6	2	30	4	16	6	37	15
ENSG00000177000	121	49	223	84	177	150	325	86	162	99	190	84
ENSG00000069424	200	86	352	75	113	56	240	36	220	85	227	98
ENSG00000074800	1108	1494	2011	1667	2281	2021	2301	2090	2199	2153	2187	1877
ENSG00000116786	136	180	382	284	307	296	517	207	322	365	350	179
ENSG00000176022	92	79	232	103	230	191	270	203	311	218	296	184
ENSG00000162496	23	26	46	22	39	19	104	19	46	14	67	10
ENSG00000131686	0	0	0	0	0	0	0	0	0	0	4	0
ENSG00000162494	0	0	0	0	0	3	0	0	0	0	0	0
ENSG00000173614	23	33	93	85	59	79	38	60	83	91	95	44
ENSG00000279804	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116273	8	9	0	19	34	24	63	5	49	0	53	32
ENSG00000162592	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000116254	1	5	0	0	0	0	0	0	0	0	0	0
ENSG00000049245	55	209	150	255	289	349	213	247	304	363	271	304
ENSG00000204624	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000171603	60	67	146	143	164	156	156	126	162	150	142	75
ENSG00000142606	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177674	64	46	113	55	28	31	84	24	81	105	72	56
ENSG00000162572	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171608	321	346	931	457	1188	722	1914	640	1597	1233	1932	571
ENSG00000171729	27	22	9	31	29	30	0	37	0	0	0	0
ENSG00000175262	2	2	2	0	0	3	6	0	0	0	0	5
ENSG00000162571	0	0	0	0	4	3	2	0	0	0	0	4
ENSG00000158109	77	42	116	72	80	64	67	38	84	48	104	68
ENSG00000037637	48	45	225	102	303	215	261	123	129	198	220	100
ENSG00000184163	0	0	0	0	0	0	0	0	0	5	0	0
ENSG00000159423	37	16	89	23	76	49	117	21	77	72	96	34
ENSG00000142599	113	164	104	288	121	302	142	243	68	160	86	82
ENSG00000011021	29	35	71	50	80	60	193	65	90	81	68	58
ENSG00000215912	0	6	5	0	0	3	0	17	0	0	0	0
ENSG00000120952	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000243073	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142615	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215704	2	3	0	0	0	0	1	0	0	0	0	0
ENSG00000065526	332	321	475	316	660	604	848	504	604	530	562	416
ENSG00000175756	135	134	312	277	237	178	351	262	288	279	272	232
ENSG00000157916	297	328	468	570	407	513	570	497	544	535	523	413
ENSG00000157881	18	48	98	26	181	114	127	163	186	310	124	87
ENSG00000116213	17	53	106	54	105	111	128	69	120	130	133	81
ENSG00000127463	98	54	260	173	436	396	449	180	346	249	311	330
ENSG00000048707	181	129	429	183	321	225	327	94	355	195	259	94
ENSG00000158748	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130762	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187144	0	3	2	1	0	2	0	0	0	2	1	0
ENSG00000162444	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279169	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180758	305	217	570	283	844	607	684	367	1025	815	880	575
ENSG00000184677	57	29	143	80	118	160	319	125	96	134	115	47
ENSG00000132879	13	17	48	19	46	18	136	49	106	134	58	46
ENSG00000187545	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000239810	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116731	157	173	229	246	273	274	281	240	290	301	271	179
ENSG00000116721	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131697	7	14	51	9	25	22	97	36	10	54	47	21
ENSG00000088280	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188807	16	12	61	25	40	44	43	46	85	29	78	12
ENSG00000198793	178	155	372	192	294	265	327	152	289	232	201	150
ENSG00000078900	7	0	0	0	0	5	0	0	0	0	0	0
ENSG00000142661	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171819	0	0	2	0	0	1	0	0	0	0	0	0
ENSG00000197921	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116288	459	454	793	557	681	493	750	626	799	619	649	459
ENSG00000142677	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131910	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000185436	36	206	173	515	280	567	387	326	165	675	185	263
ENSG00000131914	0	1	0	0	1	0	3	2	0	0	1	0
ENSG00000232423	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169504	93	172	91	213	473	690	244	350	298	587	222	409
ENSG00000169641	81	76	61	134	138	256	160	245	72	27	116	124
ENSG00000181773	0	6	0	0	0	0	0	0	0	0	1	0
ENSG00000175707	0	0	0	0	0	0	0	0	0	0	0	0
